recency_candidate_id,model_id,season,season_label,games,accuracy,log_loss,brier_score,recency_selector_mode,recency_mode,recency_season_half_life,recency_game_half_life,recency_min_weight,recency_normalize_mean_one,recency_base_mode,recency_base_season_half_life,recency_base_game_half_life,recency_base_min_weight,recency_base_normalize_mean_one,nonlinear_model_backend,nonlinear_model_style,is_synthetic,data_source
single,logistic_engineered,20172018,2017-2018,468,0.551282,0.690963,0.248621,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
single,logistic_engineered,20212022,2021-2022,1312,0.501524,0.704913,0.255597,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,logistic_engineered,20222023,2022-2023,1312,0.571646,0.671966,0.23982,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,logistic_engineered,20232024,2023-2024,1312,0.587652,0.663602,0.235801,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,logistic_engineered,20242025,2024-2025,1312,0.598323,0.653247,0.231336,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,logistic_engineered,20252026,2025-2026,1312,0.559451,0.67377,0.240877,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,nonlinear_tree,20172018,2017-2018,468,0.517094,0.849857,0.302368,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
single,nonlinear_tree,20212022,2021-2022,1312,0.480183,0.834775,0.303372,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,nonlinear_tree,20222023,2022-2023,1312,0.557927,0.755064,0.270569,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,nonlinear_tree,20232024,2023-2024,1312,0.55564,0.719796,0.257648,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,nonlinear_tree,20242025,2024-2025,1312,0.57622,0.681803,0.243458,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,nonlinear_tree,20252026,2025-2026,1312,0.574695,0.740817,0.265383,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated,20172018,2017-2018,468,0.540598,0.689711,0.248278,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
single,weighted_calibrated,20212022,2021-2022,1312,0.58003,0.706275,0.253026,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated,20222023,2022-2023,1312,0.54497,0.719159,0.249683,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated,20232024,2023-2024,1312,0.542683,0.693391,0.249737,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated,20242025,2024-2025,1312,0.539634,0.68542,0.246208,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated,20252026,2025-2026,1312,0.518293,0.697764,0.252041,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated_isotonic,20172018,2017-2018,468,0.540598,0.689711,0.248278,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
single,weighted_calibrated_isotonic,20212022,2021-2022,1312,0.58003,0.706275,0.253026,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated_isotonic,20222023,2022-2023,1312,0.54497,0.719159,0.249683,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated_isotonic,20232024,2023-2024,1312,0.542683,0.693391,0.249737,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated_isotonic,20242025,2024-2025,1312,0.556402,0.693808,0.24601,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated_isotonic,20252026,2025-2026,1312,0.518293,0.697764,0.252041,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated_platt,20172018,2017-2018,468,0.512821,0.690383,0.248665,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,1,FABRICATED_SYNTHETIC_RANDOM_SEED_42
single,weighted_calibrated_platt,20212022,2021-2022,1312,0.560976,0.687741,0.246948,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated_platt,20222023,2022-2023,1312,0.540396,0.689638,0.248192,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated_platt,20232024,2023-2024,1312,0.533537,0.693465,0.250074,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated_platt,20242025,2024-2025,1312,0.539634,0.68542,0.246208,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
single,weighted_calibrated_platt,20252026,2025-2026,1312,0.519055,0.698103,0.252308,static,game_exponential,1.5,800.0,0.2,True,game_exponential,1.5,800.0,0.2,True,lightgbm,gradient_boosted_trees,0,REAL_NHL_API_OR_DERIVED_FROM_REAL
